split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,1,10.06,10,Red,sup,Zeyzal,Evil Geniuses,Nautilus,Senna,Aphelios,Olaf,Pantheon,Zoe,2106,0,1,5,6,10,24,0,0,0,0,0,0,0,0,0.2849,0.9687,8829,251.5385,0.12727,550.5128,965.9259,47,1.339,12,0.3419,14,83,2.3647,7554,2982,84.9573,0.088319,7400,47,47,0,0,0,1.339,2081,2553,15,2228,2412,11,-147,141,4,3628,4852,25,3452,3971,19,176,881,6
Spring,1,2,10.06,1,Blue,top,Kumo,Evil Geniuses,Aatrox,Gragas,Syndra,Varus,Olaf,Cassiopeia,1549,0,2,6,0,6,23,1,0,0,0,0,0,0,0,0.2324,1.1233,8464,327.8502,0.22872,861.8464,486.8948,14,0.5423,3,0.1162,7,21,0.8134,7808,4372,169.348,0.208229,7750,161,156,5,3,0,6.2363,2759,4116,59,3529,4468,70,-770,-352,-11,3967,6142,92,6048,8025,136,-2081,-1883,-44
Spring,1,2,10.06,2,Blue,jng,Svenskeren,Evil Geniuses,Pantheon,Gragas,Syndra,Varus,Olaf,Cassiopeia,1549,0,2,5,4,6,23,0,0,0,0,0,0,0,1,0.2324,1.1233,6527,252.8212,0.176377,834.1898,372.3564,4,0.1549,5,0.1937,4,23,0.8909,6867,3431,132.8986,0.163416,6825,96,12,84,56,9,3.7185,2836,2880,54,3605,3705,66,-769,-825,-12,4592,4194,71,5754,6324,108,-1162,-2130,-37
Spring,1,2,10.06,3,Blue,mid,Jiizuke,Evil Geniuses,Ryze,Gragas,Syndra,Varus,Olaf,Cassiopeia,1549,0,0,6,2,6,23,0,0,0,0,0,0,0,0,0.2324,1.1233,6327,245.0742,0.170972,801.5752,366.1975,11,0.4261,1,0.0387,5,18,0.6972,9048,5612,217.379,0.267282,8325,244,205,39,37,0,9.4513,3246,4780,87,3858,4430,80,-612,350,7,5345,7857,151,6114,7026,113,-769,831,38
Spring,1,2,10.06,4,Blue,bot,Bang,Evil Geniuses,Kalista,Gragas,Syndra,Varus,Olaf,Cassiopeia,1549,0,1,4,4,6,23,0,0,0,0,0,0,0,0,0.2324,1.1233,12140,470.2389,0.328055,427.2046,284.3125,12,0.4648,6,0.2324,4,21,0.8134,9042,5606,217.1465,0.266996,8950,209,196,13,9,0,8.0955,3207,3185,87,3270,2993,88,-63,192,-1,5115,5466,134,5238,5096,136,-123,370,-2
Spring,1,2,10.06,5,Blue,sup,Zeyzal,Evil Geniuses,Trundle,Gragas,Syndra,Varus,Olaf,Cassiopeia,1549,0,1,2,4,6,23,0,0,0,0,0,0,0,0,0.2324,1.1233,3548,137.4306,0.0958763,490.5746,484.6482,33,1.2782,7,0.2711,8,61,2.3628,5411,1975,76.501,0.0940766,5100,29,29,0,0,0,1.1233,2024,2760,12,1986,2783,12,38,-23,0,3278,4205,23,2992,3592,17,286,613,6
Spring,1,3,10.06,1,Blue,top,Kumo,Evil Geniuses,Poppy,Ornn,Syndra,Nocturne,Olaf,Cassiopeia,1664,1,0,1,2,12,6,0,0,0,0,0,0,0,0,0.4327,0.649,9258,333.8221,0.163757,471.887,983.2212,14,0.5048,1,0.0361,6,23,0.8293,9953,6283,226.5505,0.207422,8750,221,217,4,0,0,7.9688,2917,4430,70,3285,4576,84,-368,-146,-14,4537,7179,119,6563,7479,132,-2026,-300,-13
Spring,1,3,10.06,2,Blue,jng,Svenskeren,Evil Geniuses,Gragas,Ornn,Syndra,Nocturne,Olaf,Cassiopeia,1664,1,4,1,6,12,6,0,0,0,0,0,0,0,0,0.4327,0.649,12041,434.1707,0.212983,715.9255,436.4784,21,0.7572,8,0.2885,7,53,1.9111,9363,5693,205.2764,0.187943,8145,137,17,120,81,0,4.9399,3111,3212,51,3185,3580,61,-74,-368,-10,4343,4559,77,5410,5816,98,-1067,-1257,-21
Spring,1,3,10.06,3,Blue,mid,Jiizuke,Evil Geniuses,Zoe,Ornn,Syndra,Nocturne,Olaf,Cassiopeia,1664,1,2,3,5,12,6,0,0,0,0,0,0,0,1,0.4327,0.649,11245,405.4688,0.198903,349.363,142.7885,15,0.5409,2,0.0721,6,32,1.1538,8564,4894,176.4663,0.161565,7950,150,142,8,8,0,5.4087,3111,3641,61,3520,4106,65,-409,-465,-4,4375,5446,92,5340,6218,108,-965,-772,-16
Spring,1,3,10.06,4,Blue,bot,Bang,Evil Geniuses,Aphelios,Ornn,Syndra,Nocturne,Olaf,Cassiopeia,1664,1,6,0,4,12,6,1,0,0,0,0,0,0,0,0.4327,0.649,18431,664.5793,0.32601,317.7404,343.1611,14,0.5048,14,0.5048,5,54,1.9471,13653,9983,359.9639,0.329573,11525,264,256,8,4,0,9.5192,3246,2980,80,3538,3550,93,-292,-570,-13,4771,4785,118,5560,5714,143,-789,-929,-25
