split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,0,1,10.03,7,Red,jng,Grig,Dignitas,Jarvan IV,Aphelios,Xayah,Ornn,LeBlanc,Syndra,1889,0,0,4,4,4,17,0,0,0,0,1,0,1,0,0.1271,0.667,0,1,3275,104.0233,0.0704695,752.684,695.7014,10,0.3176,8,0.2541,9,32,1.0164,7739,3610,114.6638,0.135073,7475,125,14,111,87,0,3.9704,2952,2817,50,2944,2837,53,8,-20,-3,4564,4219,76,4441,4749,83,123,-530,-7
Spring,0,1,10.03,8,Red,mid,Froggen,Dignitas,Viktor,Aphelios,Xayah,Ornn,LeBlanc,Syndra,1889,0,0,0,3,4,17,0,0,0,0,1,0,1,0,0.1271,0.667,0,1,18999,603.4621,0.408809,288.216,275.7967,18,0.5717,6,0.1906,9,32,1.0164,11360,7231,229.6771,0.270563,11425,314,306,8,7,0,9.9735,3404,4525,88,4103,4698,82,-699,-173,6,5327,7435,144,6077,7721,146,-750,-286,-2
Spring,0,1,10.03,9,Red,bot,Johnsun,Dignitas,Varus,Aphelios,Xayah,Ornn,LeBlanc,Syndra,1889,0,1,4,3,4,17,0,0,0,0,1,1,0,0,0.1271,0.667,0,1,12099,384.2986,0.260339,333.478,291.5828,15,0.4764,10,0.3176,8,29,0.9211,12734,8605,273.3192,0.321975,12800,311,287,24,16,0,9.8782,3447,2876,72,3768,3339,85,-321,-463,-13,5928,4940,127,6634,6094,151,-706,-1154,-24
Spring,0,1,10.03,10,Red,sup,aphromoo,Dignitas,Tahm Kench,Aphelios,Xayah,Ornn,LeBlanc,Syndra,1889,0,0,4,2,4,17,0,0,0,0,0,0,0,0,0.1271,0.667,0,0,3074,97.639,0.0661445,513.0651,667.3372,38,1.207,8,0.2541,14,72,2.2869,6354,2225,70.6723,0.0832488,6150,28,28,0,0,0,0.8894,1998,2249,11,2254,2604,12,-256,-355,-1,3665,3699,20,3482,3987,22,183,-288,-2
Spring,0,1,10.06,1,Blue,top,Huni,Dignitas,Ornn,Syndra,Varus,Xayah,Trundle,LeBlanc,1850,1,2,0,5,10,2,0,0,0,0,0,0,0,0,0.3243,0.3892,0,0,9632,312.3892,0.245308,558.3568,801.1135,11,0.3568,6,0.1946,4,34,1.1027,11217,7167,232.4432,0.201445,10530,233,225,8,1,0,7.5568,2779,4089,66,2917,4347,73,-138,-258,-7,4477,6630,117,4432,6956,120,45,-326,-3
Spring,0,1,10.06,2,Blue,jng,Akaadian,Dignitas,Lee Sin,Syndra,Varus,Xayah,Trundle,LeBlanc,1850,1,1,1,5,10,2,0,0,0,0,0,0,0,0,0.3243,0.3892,0,0,4690,152.1081,0.119445,720.4865,870.8432,17,0.5514,9,0.2919,13,41,1.3297,10653,6603,214.1514,0.185593,10350,186,17,169,105,13,6.0324,2951,3154,60,2828,2956,56,123,198,4,4819,5245,96,4038,4232,79,781,1013,17
Spring,0,1,10.06,3,Blue,mid,Froggen,Dignitas,Viktor,Syndra,Varus,Xayah,Trundle,LeBlanc,1850,1,4,0,4,10,2,1,0,0,0,0,0,0,0,0.3243,0.3892,1,0,13263,430.1514,0.337782,188.6595,257.9351,13,0.4216,8,0.2595,7,36,1.1676,13641,9591,311.0595,0.269573,11225,303,276,27,18,9,9.827,3412,5069,97,3566,5232,101,-154,-163,-4,5741,8470,174,5666,8456,169,75,14,5
Spring,0,1,10.06,4,Blue,bot,Johnsun,Dignitas,Aphelios,Syndra,Varus,Xayah,Trundle,LeBlanc,1850,1,2,1,6,10,2,0,0,0,0,0,0,0,1,0.3243,0.3892,0,0,9497,308.0108,0.241869,157.6865,252.8757,11,0.3568,9,0.2919,4,50,1.6216,13045,8995,291.7297,0.252822,11400,299,275,24,16,4,9.6973,3367,2942,89,3207,2830,87,160,112,2,5182,4840,137,5428,5033,140,-246,-193,-3
Spring,0,1,10.06,5,Blue,sup,aphromoo,Dignitas,Tahm Kench,Syndra,Varus,Xayah,Trundle,LeBlanc,1850,1,1,0,5,10,2,0,0,0,0,0,0,0,0,0.3243,0.3892,0,0,2183,70.8,0.0555966,251.9027,358.9622,37,1.2,2,0.0649,10,62,2.0108,7272,3222,104.4973,0.0905677,6150,23,23,0,0,0,0.7459,2106,2772,12,1929,2650,0,177,122,12,3343,4507,20,3016,4446,0,327,61,20
Summer,0,1,10.11,6,Red,top,V1per,Dignitas,Sett,Varus,Syndra,Aphelios,LeBlanc,Galio,2308,0,1,4,5,7,15,0,0,0,0,0,0,0,0,0.182,0.5719,0,0,22058,573.4315,0.325234,859.4974,1314.6707,17,0.4419,3,0.078,4,30,0.7799,13209,8225,213.8215,0.221394,13000,314,306,8,5,0,8.1629,3074,4662,76,3300,4770,92,-226,-108,-16,4795,7526,129,5307,7730,144,-512,-204,-15
Summer,0,1,10.11,7,Red,jng,Akaadian,Dignitas,Trundle,Varus,Syndra,Aphelios,LeBlanc,Galio,2308,0,2,3,4,7,15,1,0,0,0,0,0,0,1,0.182,0.5719,0,1,5815,151.1698,0.0857391,1055.6932,1064.0901,9,0.234,24,0.6239,9,60,1.5598,10926,5942,154.4714,0.159942,10175,187,50,137,110,0,4.8614,3084,3143,60,3748,4095,78,-664,-952,-18,4487,4749,93,5404,6006,116,-917,-1257,-23
Summer,0,1,10.11,8,Red,mid,Froggen,Dignitas,Orianna,Varus,Syndra,Aphelios,LeBlanc,Galio,2308,0,2,1,4,7,15,0,0,0,0,0,0,0,0,0.182,0.5719,0,0,15975,415.2946,0.235543,309.2808,378.7695,25,0.6499,4,0.104,15,30,0.7799,15302,10318,268.2322,0.277731,15675,405,365,40,35,0,10.5286,3734,4899,98,3458,4871,98,276,28,0,5794,7957,165,5876,8206,164,-82,-249,1
Summer,0,1,10.11,9,Red,bot,Johnsun,Dignitas,Ezreal,Varus,Syndra,Aphelios,LeBlanc,Galio,2308,0,1,2,4,7,15,0,0,0,0,0,0,0,0,0.182,0.5719,0,1,22210,577.383,0.327475,430.7886,488.3969,18,0.4679,12,0.312,7,46,1.1958,14933,9949,258.6395,0.267798,14075,359,319,40,35,0,9.3328,3295,3386,87,3397,3210,95,-102,176,-8,4891,5581,130,5470,5368,148,-579,213,-18
Summer,0,1,10.11,10,Red,sup,aphromoo,Dignitas,Leona,Varus,Syndra,Aphelios,LeBlanc,Galio,2308,0,1,5,4,7,15,0,0,0,0,0,0,0,0,0.182,0.5719,0,0,1764,45.8579,0.0260093,477.9983,657.6083,51,1.3258,20,0.5199,18,101,2.6256,7701,2717,70.6326,0.0731353,7300,39,39,0,0,0,1.0139,2053,2475,11,2025,2709,12,28,-234,-1,3056,3585,18,3084,3792,18,-28,-207,0
Summer,0,1,10.13,6,Red,top,Lourlo,Dignitas,Mordekaiser,Varus,Olaf,Thresh,Lee Sin,Bard,1985,0,2,4,4,10,21,0,0,0,0,0,0,0,1,0.3023,0.937,0,0,10210,308.6146,0.172998,745.9647,1232.1612,11,0.3325,2,0.0605,3,17,0.5139,10465,6140,185.5919,0.201338,10310,204,184,20,12,0,6.1662,2693,3841,49,3302,4845,86,-609,-1004,-37,4151,5995,84,5297,7420,130,-1146,-1425,-46
Summer,0,1,10.13,7,Red,jng,Dardoch,Dignitas,Wukong,Varus,Olaf,Thresh,Lee Sin,Bard,1985,0,3,3,5,10,21,1,0,0,0,0,0,0,0,0.3023,0.937,0,0,8032,242.7809,0.136094,768.6045,599.1839,18,0.5441,12,0.3627,18,46,1.3904,9475,5150,155.6675,0.168875,9325,145,25,120,81,8,4.3829,3522,3221,56,3843,3494,67,-321,-273,-11,5268,5366,93,5990,5910,106,-722,-544,-13
Summer,0,1,10.13,8,Red,mid,Fenix,Dignitas,Morgana,Varus,Olaf,Thresh,Lee Sin,Bard,1985,0,1,4,4,10,21,0,0,0,0,0,0,0,0,0.3023,0.937,0,2,10867,328.4736,0.18413,529.7229,357.2191,6,0.1814,5,0.1511,5,21,0.6348,10338,6013,181.7531,0.197173,10475,245,223,22,11,8,7.4055,3702,5446,97,3746,4739,89,-44,707,8,5787,8537,159,5677,7660,136,110,877,23
Summer,0,1,10.13,9,Red,bot,Johnsun,Dignitas,Aphelios,Varus,Olaf,Thresh,Lee Sin,Bard,1985,0,3,5,5,10,21,0,0,0,0,0,0,0,0,0.3023,0.937,0,1,24734,747.6272,0.419092,515.3048,590.8715,15,0.4534,9,0.272,5,30,0.9068,14324,9999,302.2368,0.327879,14275,346,346,0,0,0,10.4584,4004,3473,94,3281,2925,80,723,548,14,6407,5610,146,5603,4789,137,804,821,9
