split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,1,1,10.16,1,Blue,top,Impact,Team Liquid,Shen,Senna,Lillia,Evelynn,Mordekaiser,Gangplank,2761,0,3,2,9,16,17,0,0,0,0,0,0,0,0,0.3477,0.7171,18231,396.1825,0.195714,729.1054,1587.8812,23,0.4998,4,0.0869,7,42,0.9127,17421,11513,250.192,0.223919,16525,391,366,25,1,12,8.4969,3354,4808,82,2992,4539,74,362,269,8,5157,7705,132,4450,118,707,505,14
Summer,1,1,10.16,2,Blue,jng,Broxah,Team Liquid,Hecarim,Senna,Lillia,Evelynn,Mordekaiser,Gangplank,2761,0,2,5,11,16,17,0,0,0,0,0,0,0,0,0.3477,0.7171,9185,199.6016,0.0986033,954.3499,973.9515,11,0.239,25,0.5433,10,80,1.7385,14007,8099,176.0014,0.157519,13633,250,44,206,141,16,5.4328,3252,2988,58,3217,3025,59,35,-37,-1,4706,4470,81,4781,97,-75,-500,-16
Summer,1,1,10.16,3,Blue,mid,Jensen,Team Liquid,Akali,Senna,Lillia,Evelynn,Mordekaiser,Gangplank,2761,0,4,2,6,16,17,0,0,0,0,0,0,0,0,0.3477,0.7171,15239,331.1626,0.163595,646.6353,448.0116,13,0.2825,9,0.1956,8,39,0.8475,18005,12097,262.883,0.235277,16750,405,376,29,26,3,8.8012,3575,4789,82,3535,4522,84,40,267,-2,5728,7342,135,5650,143,78,76,-8
Summer,1,1,10.16,4,Blue,bot,Tactical,Team Liquid,Ashe,Senna,Lillia,Evelynn,Mordekaiser,Gangplank,2761,0,7,3,5,16,17,1,0,0,0,0,0,0,0,0.3477,0.7171,45147,981.1011,0.484665,535.2626,337.3126,14,0.3042,16,0.3477,4,55,1.1952,22611,16703,362.9772,0.32486,20350,500,453,47,38,8,10.8656,3298,3514,85,3422,3348,87,-124,166,-2,4782,5655,125,5490,140,-708,-79,-15
Summer,1,1,10.16,5,Blue,sup,CoreJJ,Team Liquid,Blitzcrank,Senna,Lillia,Evelynn,Mordekaiser,Gangplank,2761,0,0,5,8,16,17,0,0,0,0,0,0,0,1,0.3477,0.7171,5349,116.2405,0.0574229,426.7367,493.2995,84,1.8254,18,0.3912,20,131,2.8468,8912,3004,65.2807,0.0584248,8000,45,45,0,0,0,0.9779,1973,2082,12,2474,2561,13,-501,-479,-1,2911,2871,19,3339,16,-428,-322,3
Summer,1,2,10.16,1,Blue,top,Impact,Team Liquid,Mordekaiser,Senna,Lillia,Evelynn,Hecarim,,1975,1,3,3,5,19,6,1,0,0,0,0,0,0,1,0.5772,0.7595,13310,404.3544,0.222326,631.5949,925.3671,15,0.4557,0,0,5,35,1.0633,12984,8679,263.6658,0.214693,12575,269,235,34,7,16,8.1722,3314,4813,89,3188,4734,83,126,79,6,5341,7194,130,4710,113,631,330,17
Summer,1,2,10.16,2,Blue,jng,Broxah,Team Liquid,Volibear,Senna,Lillia,Evelynn,Hecarim,,1975,1,3,0,9,19,6,0,0,0,0,0,0,0,0,0.5772,0.7595,6224,189.0835,0.103964,724.8911,1056.7291,10,0.3038,16,0.4861,9,53,1.6101,10549,6244,189.6911,0.154461,8725,153,27,126,67,14,4.6481,2869,2976,60,2973,3110,59,-104,-134,1,4189,4563,87,4670,90,-481,-686,-3
Summer,1,2,10.16,3,Blue,mid,Jensen,Team Liquid,Orianna,Senna,Lillia,Evelynn,Hecarim,,1975,1,2,2,11,19,6,0,0,0,0,0,0,0,0,0.5772,0.7595,12342,374.9468,0.206157,495.5241,473.1038,14,0.4253,4,0.1215,6,26,0.7899,13555,9250,281.0127,0.228817,11100,302,268,34,22,8,9.1747,3217,4633,86,3309,4808,92,-92,-175,-6,5037,7483,137,5413,153,-376,-374,-16
Summer,1,2,10.16,4,Blue,bot,Tactical,Team Liquid,Caitlyn,Senna,Lillia,Evelynn,Hecarim,,1975,1,9,0,4,19,6,3,0,0,0,0,0,0,0,0.5772,0.7595,20860,633.7215,0.348439,493.5494,312.9418,14,0.4253,9,0.2734,3,26,0.7899,15834,11529,350.2481,0.285191,11975,303,280,23,16,7,9.2051,3380,3104,89,3134,3504,80,246,-400,9,4958,4863,132,4694,124,264,-445,8
Summer,1,2,10.16,5,Blue,sup,CoreJJ,Team Liquid,Lux,Senna,Lillia,Evelynn,Hecarim,,1975,1,2,1,14,19,6,0,0,0,0,0,0,0,0,0.5772,0.7595,7131,216.638,0.119114,220.3443,431.9089,63,1.9139,20,0.6076,9,114,3.4633,9028,4723,143.4835,0.116838,7225,43,43,0,0,0,1.3063,2194,2729,14,1966,2115,13,228,614,1,3224,3581,22,2981,23,243,243,-1
