split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,4,Blue,bot,Cody Sun,100 Thieves,Varus,Graves,Yuumi,Twisted Fate,Zilean,LeBlanc,2909,0,5,5,7,20,21,1,0,0,0,0,0,0,1,0.4125,0.8457,43807,903.5476,0.335103,305.7752,122.537,15,0.3094,16,0.33,5,53,1.0932,18057,11847,244.352,0.203641,17175,344,324,20,17,0,7.0952,3097,2821,79,3954,3692,94,-857,-871,-15,4797,4732,124,6522,5940,148,-1725,-1208,-24
Summer,0,1,10.12,5,Blue,sup,Stunt,100 Thieves,Thresh,Graves,Yuumi,Twisted Fate,Zilean,LeBlanc,2909,0,0,7,10,20,21,0,0,0,0,0,0,0,0,0.4125,0.8457,3347,69.034,0.025603,547.9202,674.438,72,1.485,12,0.2475,26,134,2.7638,10867,4657,96.0536,0.0800506,9725,47,47,0,0,0,0.9694,2069,2550,15,2347,2193,13,-278,357,2,3149,3976,26,4107,3849,18,-958,127,8
Spring,0,1,10.03,1,Blue,top,Ssumday,100 Thieves,Aatrox,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,1,2,4,7,16,0,0,0,0,0,0,0,0,0.1965,0.6458,9281,260.5803,0.199574,842.3023,811.4179,19,0.5335,8,0.2246,8,41,1.1511,13243,8608,241.6846,0.25078,13400,302,269,33,5,16,8.4792,3036,4768,77,3165,4814,78,-129,-46,-1,5343,7441,122,5255,7132,117,88,309,5
Spring,0,1,10.03,2,Blue,jng,Meteos,100 Thieves,Gragas,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,0,4,3,7,16,0,0,0,0,0,0,0,0,0.1965,0.6458,10333,290.117,0.222196,673.898,416.9677,34,0.9546,18,0.5054,10,75,2.1058,9872,5237,147.0379,0.15257,9200,187,22,165,96,23,5.2504,3087,3280,64,2868,2885,56,219,395,8,5007,5386,96,4316,4674,87,691,712,9
Spring,0,1,10.03,3,Blue,mid,Ryoma,100 Thieves,LeBlanc,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,4,5,2,7,16,0,0,0,0,0,0,0,0,0.1965,0.6458,12842,360.5615,0.276148,517.9036,335.3486,14,0.3931,12,0.3369,10,39,1.095,11863,7228,202.9387,0.210576,11825,225,213,12,12,0,6.3173,2839,4441,66,3485,4942,85,-646,-501,-19,4511,6686,111,5248,7312,133,-737,-626,-22
Spring,0,1,10.03,4,Blue,bot,Cody Sun,100 Thieves,Miss Fortune,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,2,1,2,7,16,0,0,0,0,0,0,0,0,0.1965,0.6458,11376,319.401,0.244624,158.9424,323.6687,16,0.4492,15,0.4212,9,44,1.2354,15146,10511,295.1146,0.306221,14975,373,345,28,23,0,10.4726,3301,3412,88,3301,3361,87,0,51,1,5491,5688,138,5832,6019,136,-341,-331,2
Spring,0,1,10.03,5,Blue,sup,Stunt,100 Thieves,Nautilus,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,0,4,3,7,16,0,0,0,0,0,0,0,1,0.1965,0.6458,2672,75.0211,0.0574574,381.3383,544.0431,61,1.7127,17,0.4773,19,98,2.7515,7376,2741,76.9584,0.0798529,7275,43,43,0,0,0,1.2073,2080,2291,14,2526,2661,16,-446,-370,-2,3278,3117,26,3706,2996,21,-428,121,5
Spring,1,1,10.06,6,Red,top,Ssumday,100 Thieves,Gangplank,Senna,Gragas,Pantheon,Kindred,Olaf,1683,0,2,4,1,3,21,0,0,0,0,0,0,0,1,0.107,0.8556,14265,508.5561,0.362102,856.328,705.0267,14,0.4991,5,0.1783,7,31,1.1052,10726,7017,250.1604,0.291972,10858,242,225,17,14,0,8.6275,3639,4905,86,3417,4736,74,222,169,12,5155,6924,123,5989,8184,127,-834,-1260,-4
Spring,1,1,10.06,7,Red,jng,Meteos,100 Thieves,Sejuani,Senna,Gragas,Pantheon,Kindred,Olaf,1683,0,0,5,2,3,21,0,0,0,0,0,0,0,0,0.107,0.8556,4916,175.2585,0.124787,840.0357,824.5633,6,0.2139,16,0.5704,6,53,1.8895,7749,4040,144.0285,0.168103,6700,158,30,128,84,12,5.6328,3091,3303,64,3469,3963,74,-378,-660,-10,4573,4994,103,5116,6079,110,-543,-1085,-7
Spring,1,1,10.06,8,Red,mid,Ryoma,100 Thieves,Syndra,Senna,Gragas,Pantheon,Kindred,Olaf,1683,0,0,4,1,3,21,0,0,0,0,0,0,0,0,0.107,0.8556,9575,341.3547,0.243051,461.0339,217.3975,10,0.3565,2,0.0713,5,15,0.5348,9120,5411,192.9055,0.225148,9060,243,237,6,5,0,8.6631,3129,4335,82,3433,4355,72,-304,-20,10,5157,7302,142,5416,7503,129,-259,-201,13
