split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,0,1,10.02,10,Red,sup,Biofrost,Team SoloMid,Rakan,Akali,Tahm Kench,Jarvan IV,Syndra,Lee Sin,2320,1,1,1,16,20,9,0,0,0,0,0,0,0,0,0.5172,0.75,4376,113.1724,0.0498105,383.819,780.6983,69,1.7845,26,0.6724,23,124,3.2069,9194,4186,108.2586,0.0986704,8225,52,52,0,0,0,1.3448,2100,2433,13,2202,2720,17,-102,-287,-4,3551,4014,24,3496,4344,27,55,-330,-3
Spring,0,1,10.02,1,Blue,top,Broken Blade,Team SoloMid,Ornn,Lucian,Jarvan IV,Lee Sin,Mordekaiser,Aatrox,1803,1,2,1,5,12,7,0,0,0,0,0,0,0,1,0.3993,0.6323,10892,362.4626,0.206257,635.807,981.1314,17,0.5657,4,0.1331,7,39,1.2978,10800,6846,227.8203,0.195115,10075,208,200,8,0,4,6.9218,3514,5065,95,2669,4563,58,845,502,37,4707,6692,123,4650,7088,98,57,-396,25
Spring,0,1,10.02,2,Blue,jng,Dardoch,Team SoloMid,Qiyana,Lucian,Jarvan IV,Lee Sin,Mordekaiser,Aatrox,1803,1,4,4,1,12,7,0,0,0,0,0,0,0,0,0.3993,0.6323,7083,235.7072,0.134127,820.2995,395.4077,26,0.8652,15,0.4992,12,74,2.4626,9854,5900,196.3394,0.168155,9000,162,18,144,78,27,5.391,2855,2579,55,3168,3466,72,-313,-887,-17,4346,4097,81,5009,5229,105,-663,-1132,-24
Spring,0,1,10.02,3,Blue,mid,Bjergsen,Team SoloMid,Syndra,Lucian,Jarvan IV,Lee Sin,Mordekaiser,Aatrox,1803,1,2,0,7,12,7,0,0,0,0,0,0,0,0,0.3993,0.6323,12259,407.9534,0.232143,232.3794,123.9601,15,0.4992,2,0.0666,7,32,1.0649,11095,7141,237.6373,0.203523,8510,233,208,25,12,9,7.7537,3527,5099,99,3102,4595,83,425,504,16,5119,7524,146,4736,7236,132,383,288,14
Spring,0,1,10.02,4,Blue,bot,Kobbe,Team SoloMid,Xayah,Lucian,Jarvan IV,Lee Sin,Mordekaiser,Aatrox,1803,1,3,0,7,12,7,1,0,0,0,0,0,0,0,0.3993,0.6323,19135,636.772,0.36235,399.1348,331.6805,10,0.3328,8,0.2662,5,36,1.198,15137,11183,372.1464,0.318717,13775,359,323,36,24,0,11.9468,3438,3255,90,3191,2965,82,247,290,8,5898,6309,164,5720,5281,132,178,1028,32
Summer,1,1,10.16,9,Red,bot,Doublelift,Team SoloMid,Senna,Kalista,Olaf,Tahm Kench,Bard,Yuumi,2122,1,2,1,10,13,8,0,0,0,0,1,0,1,0,0.3676,0.5938,15684,443.4684,0.232873,296.3525,180.8765,17,0.4807,9,0.2545,6,47,1.3289,13826,9222,260.754,0.203321,11750,284,270,14,4,2,8.0302,3450,3721,90,3370,3402,94,80,319,-4,5468,6060,143,5164,5713,148,304,347,-5
Summer,1,1,10.16,10,Red,sup,Biofrost,Team SoloMid,Rakan,Kalista,Olaf,Tahm Kench,Bard,Yuumi,2122,1,2,0,9,13,8,0,0,0,0,1,0,1,0,0.3676,0.5938,3266,92.3468,0.0484929,285.8341,544.722,48,1.3572,15,0.4241,13,100,2.8275,8699,4095,115.787,0.0902779,7425,34,34,0,0,0,0.9614,2245,2399,10,2118,2715,13,127,-316,-3,3406,3781,19,3205,4122,21,201,-341,-2
Summer,1,2,10.16,1,Blue,top,Broken Blade,Team SoloMid,Shen,Kalista,Olaf,Twisted Fate,Jayce,Zoe,1789,0,1,2,3,5,18,0,0,0,0,1,0,1,0,0.1677,0.7714,8436,282.929,0.207156,571.6266,682.0682,17,0.5702,4,0.1342,8,37,1.2409,9451,5526,185.3326,0.209971,9050,207,193,14,8,0,6.9424,3329,4669,81,3101,4086,72,228,583,9,4783,6795,116,4655,6550,106,128,245,10
Summer,1,2,10.16,2,Blue,jng,Spica,Team SoloMid,Lee Sin,Kalista,Olaf,Twisted Fate,Jayce,Zoe,1789,0,3,6,0,5,18,0,0,0,0,1,1,0,0,0.1677,0.7714,6226,208.8094,0.152887,750.8888,608.4516,16,0.5366,18,0.6037,9,60,2.0123,8816,4891,164.0358,0.185842,8750,154,19,135,93,5,5.1649,3557,3477,64,3260,3719,75,297,-242,-11,5356,5257,84,5733,6254,114,-377,-997,-30
Summer,1,2,10.16,3,Blue,mid,Bjergsen,Team SoloMid,Azir,Kalista,Olaf,Twisted Fate,Jayce,Zoe,1789,0,0,3,2,5,18,0,0,0,0,0,0,0,0,0.1677,0.7714,10103,338.8373,0.248091,406.0145,190.7658,15,0.5031,9,0.3018,8,41,1.3751,10161,6236,209.1448,0.236949,9675,261,257,4,4,0,8.7535,3412,4851,97,3421,4941,96,-9,-90,1,5301,7426,147,5891,7874,151,-590,-448,-4
Summer,1,2,10.16,4,Blue,bot,Doublelift,Team SoloMid,Ashe,Kalista,Olaf,Twisted Fate,Jayce,Zoe,1789,0,1,3,2,5,18,0,0,0,0,0,0,0,0,0.1677,0.7714,12979,435.2935,0.318714,534.4662,247.2443,12,0.4025,7,0.2348,5,33,1.1068,11728,7803,261.6993,0.296492,11275,288,272,16,10,0,9.659,3083,3007,81,3407,3231,93,-324,-224,-12,5235,5071,129,5991,5098,134,-756,-27,-5
Summer,1,2,10.16,5,Blue,sup,Biofrost,Team SoloMid,Rakan,Kalista,Olaf,Twisted Fate,Jayce,Zoe,1789,0,0,4,3,5,18,0,0,0,0,0,0,0,0,0.1677,0.7714,2979,99.9106,0.0731528,467.0207,401.3862,36,1.2074,8,0.2683,14,65,2.18,5787,1862,62.4483,0.0707461,5300,30,30,0,0,0,1.0061,1947,2535,11,2123,2794,12,-176,-259,-1,3005,3732,18,3806,4509,18,-801,-777,0
Summer,1,3,10.16,6,Red,top,Broken Blade,Team SoloMid,Lucian,Kalista,Olaf,Tahm Kench,Orianna,Lee Sin,2162,1,3,3,10,18,10,1,0,0,0,0,0,0,1,0.4995,0.7771,17693,491.0176,0.231329,475.5319,254.2368,24,0.666,13,0.3608,14,55,1.5264,15112,10426,289.3432,0.242387,13525,304,285,19,9,1,8.4366,3427,3967,58,3112,3928,52,315,39,6,5140,6220,99,4908,6202,87,232,18,12
Summer,1,3,10.16,7,Red,jng,Spica,Team SoloMid,Evelynn,Kalista,Olaf,Tahm Kench,Orianna,Lee Sin,2162,1,3,4,10,18,10,0,0,0,0,0,0,0,0,0.4995,0.7771,12157,337.3821,0.158948,681.9796,433.3488,20,0.555,3,0.0833,10,38,1.0546,11666,6980,193.7095,0.162272,10650,201,23,178,124,17,5.5782,4069,4081,72,3508,3058,48,561,1023,24,5864,6952,119,5428,5291,87,436,1661,32
Summer,1,3,10.16,8,Red,mid,Bjergsen,Team SoloMid,Twisted Fate,Kalista,Olaf,Tahm Kench,Orianna,Lee Sin,2162,1,8,0,8,18,10,1,0,0,0,0,0,0,0,0.4995,0.7771,23983,665.5782,0.313569,364.1628,189.6022,13,0.3608,4,0.111,2,29,0.8048,17350,12664,351.4524,0.294417,16450,326,302,24,19,0,9.0472,4748,4448,87,4293,4446,84,455,2,3,7033,7735,143,6166,7126,137,867,609,6
