split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,1,10.06,8,Red,mid,Goldenglue,Golden Guardians,Corki,Senna,Syndra,Sett,Trundle,Azir,2505,0,4,3,5,9,15,0,0,0,0,0,0,0,0,0.2156,0.5749,26982,646.2754,0.354127,724.0958,383.6407,21,0.503,10,0.2395,9,37,0.8862,15589,10203,244.3832,0.27648,15558,344,286,58,47,2,8.2395,3150,4586,82,3189,5023,88,-39,-437,-6,5027,7345,139,5024,7858,147,3,-513,-8
Spring,1,1,10.06,9,Red,bot,FBI,Golden Guardians,Kalista,Senna,Syndra,Sett,Trundle,Azir,2505,0,2,4,5,9,15,0,0,0,0,0,0,0,0,0.2156,0.5749,25114,601.5329,0.32961,620.6228,298.5629,12,0.2874,10,0.2395,2,35,0.8383,15764,10378,248.5749,0.281222,14200,381,360,21,21,0,9.1257,3355,2779,90,3154,3455,79,201,-676,11,5046,4462,138,4787,5679,129,259,-1217,9
Spring,1,1,10.06,10,Red,sup,huhi,Golden Guardians,Taric,Senna,Syndra,Sett,Trundle,Azir,2505,0,0,2,9,9,15,0,0,0,0,0,0,0,0,0.2156,0.5749,3560,85.2695,0.0467235,532.6946,374.2994,61,1.4611,13,0.3114,21,93,2.2275,8240,2854,68.3593,0.0773412,7675,41,37,4,0,0,0.982,2178,2820,15,2052,2452,13,126,368,2,3255,4253,23,3092,3866,21,163,387,2
Spring,1,2,10.06,1,Blue,top,Hauntzer,Golden Guardians,Maokai,Syndra,Rakan,LeBlanc,Gragas,Elise,1763,0,0,2,0,3,15,0,0,0,0,0,0,0,0,0.1021,0.6126,14427,490.9926,0.345383,637.6064,1074.1804,14,0.4765,3,0.1021,5,35,1.1912,9738,5866,199.637,0.237347,9675,253,253,0,0,0,8.6103,3024,4039,76,3148,4591,83,-124,-552,-7,4645,6604,123,5105,7791,147,-460,-1187,-24
Spring,1,2,10.06,2,Blue,jng,Closer,Golden Guardians,Lee Sin,Syndra,Rakan,LeBlanc,Gragas,Elise,1763,0,1,1,2,3,15,0,0,0,0,0,0,0,0,0.1021,0.6126,4299,146.3074,0.102918,676.3698,694.2711,10,0.3403,5,0.1702,6,25,0.8508,8481,4609,156.8576,0.186486,8375,158,22,136,105,0,5.3772,3055,3001,51,3140,2967,50,-85,34,1,4365,4342,72,4838,4997,73,-473,-655,-1
Spring,1,2,10.06,3,Blue,mid,Goldenglue,Golden Guardians,Zoe,Syndra,Rakan,LeBlanc,Gragas,Elise,1763,0,1,4,2,3,15,0,0,0,0,0,0,0,0,0.1021,0.6126,10251,348.8712,0.245409,374.0896,180.0681,15,0.5105,4,0.1361,7,34,1.1571,9864,5992,203.9251,0.242445,9885,242,226,16,12,0,8.236,3340,4883,89,3152,4713,82,188,170,7,4843,6821,123,5492,7504,131,-649,-683,-8
Spring,1,2,10.06,4,Blue,bot,FBI,Golden Guardians,Varus,Syndra,Rakan,LeBlanc,Gragas,Elise,1763,0,0,5,1,3,15,0,0,0,0,0,0,0,1,0.1021,0.6126,10275,349.688,0.245984,306.7045,236.4606,11,0.3744,8,0.2723,3,28,0.9529,9790,5918,201.4067,0.239451,8975,239,239,0,0,0,8.1339,2836,2613,69,3853,3318,87,-1017,-705,-18,4726,4697,119,5494,5791,138,-768,-1094,-19
Spring,1,2,10.06,5,Blue,sup,huhi,Golden Guardians,Tahm Kench,Syndra,Rakan,LeBlanc,Gragas,Elise,1763,0,1,3,2,3,15,0,0,0,0,0,0,0,0,0.1021,0.6126,2519,85.7289,0.060305,481.0891,705.8083,46,1.5655,8,0.2723,18,77,2.6205,6202,2330,79.2967,0.0942722,5650,32,32,0,0,0,1.0891,2034,2288,13,2269,2358,11,-235,-70,2,3478,3435,22,3169,3353,17,309,82,5
Spring,1,3,10.06,6,Red,top,Hauntzer,Golden Guardians,Aatrox,Sett,Rakan,Senna,Ashe,Yuumi,2336,0,2,1,0,7,17,0,0,0,0,0,0,0,0,0.1798,0.6164,13204,339.1438,0.265146,846.2671,983.3476,24,0.6164,10,0.2568,10,38,0.976,15367,10326,265.2226,0.282201,15200,368,341,27,19,0,9.4521,3220,5005,83,3463,4944,92,-243,61,-9,5489,8213,148,5889,7999,153,-400,214,-5
Spring,1,3,10.06,7,Red,jng,Closer,Golden Guardians,Olaf,Sett,Rakan,Senna,Ashe,Yuumi,2336,0,2,3,3,7,17,0,0,0,0,1,0,1,0,0.1798,0.6164,5000,128.4247,0.100404,842.5685,640.274,10,0.2568,21,0.5394,8,50,1.2842,11408,6367,163.536,0.174004,10950,215,73,142,99,8,5.5223,3365,3322,68,3392,3378,63,-27,-56,5,5038,5236,106,4851,5102,97,187,134,9
Spring,1,3,10.06,8,Red,mid,Goldenglue,Golden Guardians,Sylas,Sett,Rakan,Senna,Ashe,Yuumi,2336,0,1,5,3,7,17,0,0,0,0,1,0,1,0,0.1798,0.6164,14488,372.1233,0.29093,752.3887,540.9503,16,0.411,15,0.3853,10,46,1.1815,12917,7876,202.2945,0.215244,12900,287,279,8,5,0,7.3716,2983,4345,73,3292,4566,86,-309,-221,-13,4625,6718,115,5459,7446,145,-834,-728,-30
Spring,1,3,10.06,9,Red,bot,FBI,Golden Guardians,Varus,Sett,Rakan,Senna,Ashe,Yuumi,2336,0,2,4,3,7,17,0,0,0,0,1,1,0,0,0.1798,0.6164,12729,326.9435,0.255608,346.2586,352.8596,17,0.4366,17,0.4366,6,38,0.976,14575,9534,244.8801,0.260556,13750,348,340,8,8,0,8.9384,3761,3859,86,3500,3812,85,261,47,1,5907,6380,138,5228,6071,136,679,309,2
Spring,1,3,10.06,10,Red,sup,huhi,Golden Guardians,Braum,Sett,Rakan,Senna,Ashe,Yuumi,2336,0,0,4,5,7,17,0,0,0,0,1,0,1,0,0.1798,0.6164,4378,112.4486,0.0879134,429.3236,430.5308,78,2.0034,27,0.6935,28,105,2.6969,7529,2488,63.9041,0.0679941,7350,51,51,0,0,0,1.3099,2220,2255,15,2199,2523,12,21,-268,3,3215,3472,25,3203,3707,22,12,-235,3
Summer,0,1,10.14,1,Blue,top,Hauntzer,Golden Guardians,Gangplank,Orianna,Graves,Ezreal,Azir,Thresh,2305,1,2,3,9,14,12,0,0,0,0,0,0,0,0,0.3644,0.6768,33220,864.7289,0.362256,519.5401,329.102,20,0.5206,6,0.1562,7,41,1.0672,16784,11806,307.3145,0.256545,15858,342,330,12,0,9,8.9024,3323,4441,89,4134,5047,87,-811,-606,2,5833,7842,148,5613,7103,125,220,739,23
Summer,0,1,10.14,2,Blue,jng,Closer,Golden Guardians,Sett,Orianna,Graves,Ezreal,Azir,Thresh,2305,1,5,3,5,14,12,0,0,0,0,1,1,0,0,0.3644,0.6768,8026,208.9197,0.0875217,908.3557,911.4273,12,0.3124,18,0.4685,10,61,1.5879,11844,6866,178.7245,0.1492,10300,181,26,155,108,0,4.7115,3227,2886,58,3770,3330,58,-543,-444,0,4767,4556,83,5454,5305,94,-687,-749,-11
Summer,0,1,10.14,3,Blue,mid,Damonte,Golden Guardians,Twisted Fate,Orianna,Graves,Ezreal,Azir,Thresh,2305,1,2,1,8,14,12,0,0,0,0,0,0,0,0,0.3644,0.6768,15743,409.7961,0.171674,498.3774,324.3644,19,0.4946,11,0.2863,7,48,1.2495,16402,11424,297.3709,0.248244,15825,330,301,29,24,1,8.59,3860,4851,98,3398,4954,95,462,-103,3,6080,7834,152,5696,7737,150,384,97,2
Summer,0,1,10.14,4,Blue,bot,FBI,Golden Guardians,Aphelios,Orianna,Graves,Ezreal,Azir,Thresh,2305,1,4,1,6,14,12,1,0,0,0,1,0,1,0,0.3644,0.6768,24149,628.6074,0.263339,312.9631,333.8655,16,0.4165,8,0.2082,6,44,1.1453,16976,11998,312.3124,0.260717,13300,322,297,25,15,4,8.3818,3892,3607,86,3016,2785,69,876,822,17,6157,6177,134,5035,4902,114,1122,1275,20
Summer,0,1,10.14,5,Blue,sup,huhi,Golden Guardians,Bard,Orianna,Graves,Ezreal,Azir,Thresh,2305,1,1,4,8,14,12,0,0,0,0,1,0,1,0,0.3644,0.6768,10565,275.0108,0.115209,460.5293,240.9371,64,1.6659,16,0.4165,17,118,3.0716,8903,3925,102.1692,0.0852934,8075,46,42,4,0,0,1.1974,2262,2648,16,2055,2025,13,207,623,3,3553,3675,22,3207,3086,25,346,589,-3
