split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,1,10.06,6,Red,top,V1per,FlyQuest,Aatrox,Senna,Aphelios,LeBlanc,Zoe,Renekton,1775,0,1,4,2,5,11,0,0,0,0,1,0,1,0,0.169,0.5408,11577,391.3352,0.32385,764.8563,777.0254,17,0.5746,8,0.2704,7,39,1.3183,10294,6397,216.2366,0.222356,10075,218,210,8,1,4,7.369,3052,4383,75,3564,4705,80,-512,-322,-5,5539,6811,106,5752,7243,129,-213,-432,-23
Spring,1,1,10.06,7,Red,jng,Santorin,FlyQuest,Pantheon,Senna,Aphelios,LeBlanc,Zoe,Renekton,1775,0,1,2,3,5,11,0,0,0,0,1,0,1,0,0.169,0.5408,5886,198.9634,0.164653,700.969,386.2986,8,0.2704,6,0.2028,8,27,0.9127,8352,4455,150.5915,0.154857,8025,129,6,123,88,4,4.3606,2680,2471,52,3529,3615,71,-849,-1144,-19,4524,4150,82,4946,5610,100,-422,-1460,-18
Spring,1,1,10.06,8,Red,mid,PowerOfEvil,FlyQuest,Azir,Senna,Aphelios,LeBlanc,Zoe,Renekton,1775,0,1,2,0,5,11,0,0,0,0,0,0,0,0,0.169,0.5408,6462,218.4338,0.180765,361.7239,216.3042,12,0.4056,10,0.338,3,31,1.0479,12011,8114,274.2761,0.282034,12150,302,286,16,12,4,10.2085,3288,4660,87,3513,4914,100,-225,-254,-13,5757,7651,146,5643,7571,142,114,80,4
Spring,1,1,10.06,9,Red,bot,WildTurtle,FlyQuest,Varus,Senna,Aphelios,LeBlanc,Zoe,Renekton,1775,0,2,1,1,5,11,0,0,0,0,1,1,0,0,0.169,0.5408,8881,300.2028,0.248433,248.6535,255.6169,11,0.3718,8,0.2704,3,25,0.8451,11334,7437,251.3915,0.258503,10475,265,242,23,19,4,8.9577,3552,2957,83,3246,3145,85,306,-188,-2,5407,5465,135,4934,5235,133,473,230,2
Spring,1,1,10.06,10,Red,sup,IgNar,FlyQuest,Braum,Senna,Aphelios,LeBlanc,Zoe,Renekton,1775,0,0,2,3,5,11,0,0,0,0,1,0,1,0,0.169,0.5408,2942,99.4479,0.0822983,252.3042,301.893,42,1.4197,11,0.3718,14,81,2.738,6263,2366,79.9775,0.0822495,5620,45,41,4,0,0,1.5211,2310,3058,25,2084,2723,13,226,335,12,3329,3436,31,3112,3673,21,217,-237,10
Spring,1,1,10.06,6,Red,top,Solo,FlyQuest,Aatrox,Senna,Sett,LeBlanc,Kindred,Zoe,1767,1,4,2,4,21,7,1,0,0,0,0,0,0,0,0.7131,0.9508,12774,433.7521,0.166658,789.5756,1090.2547,13,0.4414,6,0.2037,5,35,1.1885,12235,8355,283.7012,0.210316,10550,239,214,25,9,9,8.1154,3476,4986,85,2875,4380,70,601,606,15,6583,7729,124,4378,7006,109,2205,723,15
Spring,1,1,10.06,7,Red,jng,Santorin,FlyQuest,Trundle,Senna,Sett,LeBlanc,Kindred,Zoe,1767,1,3,1,16,21,7,1,0,0,0,1,1,0,0,0.7131,0.9508,7092,240.8149,0.0925269,932.326,1174.0917,10,0.3396,20,0.6791,9,59,2.0034,11234,7354,249.7114,0.185118,10125,143,27,116,61,4,4.8557,3849,3468,66,3165,3499,68,684,-31,-2,5955,5527,86,5363,4901,88,592,626,-2
Spring,1,1,10.06,8,Red,mid,PowerOfEvil,FlyQuest,Viktor,Senna,Sett,LeBlanc,Kindred,Zoe,1767,1,8,0,8,21,7,2,1,0,0,0,0,0,0,0.7131,0.9508,32967,1119.4228,0.430109,279.3888,553.6842,10,0.3396,8,0.2716,1,30,1.0187,15424,11544,391.9864,0.290594,15225,320,272,48,36,8,10.8659,3489,5055,92,3356,4513,90,133,542,2,6141,8176,152,4990,6927,132,1151,1249,20
Spring,1,1,10.06,9,Red,bot,WildTurtle,FlyQuest,Aphelios,Senna,Sett,LeBlanc,Kindred,Zoe,1767,1,5,2,11,21,7,1,0,0,0,1,0,1,0,0.7131,0.9508,17735,602.2071,0.231382,285.9083,346.5195,8,0.2716,7,0.2377,3,40,1.3582,12883,9003,305.7046,0.226628,11125,251,225,26,24,2,8.5229,3620,3565,90,3390,3272,95,230,293,-5,5458,6105,132,5615,5327,138,-157,778,-6
Spring,1,1,10.06,10,Red,sup,IgNar,FlyQuest,Blitzcrank,Senna,Sett,LeBlanc,Kindred,Zoe,1767,1,1,2,9,21,7,0,0,0,0,1,0,1,0,0.7131,0.9508,6080,206.4516,0.0793237,416.129,481.6299,44,1.4941,10,0.3396,10,84,2.8523,7350,3470,117.8268,0.0873444,6250,27,27,0,0,0,0.9168,2138,2897,12,1909,2492,11,229,405,1,3419,4021,16,3101,3782,17,318,239,-1
Spring,1,2,10.06,6,Red,top,Solo,FlyQuest,Ornn,Senna,Sett,Aphelios,Gragas,LeBlanc,2078,1,1,0,10,15,3,0,0,0,0,1,1,0,0,0.4331,0.5197,14618,422.0789,0.20011,569.7401,1046.9682,15,0.4331,4,0.1155,3,30,0.8662,13623,9108,262.9836,0.220585,13325,278,270,8,1,0,8.0269,3646,5044,86,3282,4884,91,364,160,-5,5917,7996,142,4863,7016,132,1054,980,10
